Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PDINN_n,PDINN_k,Air_n,Air_k,PM6L8BOOFIB_n,PM6L8BOOFIB_k
300,1.52154,0,2.28589,0.15729,1.58205814,4.25E-04,1.672407405,0.054565914,1,0,1.489397315,0.345935812
301,1.52141,0,2.28195,0.15059,1.581290698,4.26E-04,1.672473927,0.05503106,1,0,1.488933953,0.346431287
302,1.52128,0,2.27787,0.1441,1.580523256,4.27E-04,1.67254045,0.055496206,1,0,1.488470592,0.346926763
303,1.52116,0,2.27371,0.13788,1.579755814,4.28E-04,1.672606972,0.055961352,1,0,1.48800723,0.347422239
304,1.52103,0,2.26952,0.1318,1.578988372,4.29E-04,1.672673494,0.056426498,1,0,1.487543868,0.347917715
305,1.52091,0,2.26527,0.12602,1.57822093,4.30E-04,1.672740016,0.056891644,1,0,1.487080506,0.348413191
306,1.52082,0,2.26097,0.12038,1.577453488,4.31E-04,1.672806539,0.05735679,1,0,1.486617144,0.348908667
307,1.52073,0,2.25663,0.11488,1.576876471,4.32E-04,1.672873061,0.057821936,1,0,1.486153783,0.349404143
308,1.52064,0,2.25221,0.1097,1.576347059,4.32E-04,1.672939583,0.058287081,1,0,1.485690421,0.349899619
309,1.52055,0,2.24776,0.10463,1.575817647,4.33E-04,1.673006105,0.058752227,1,0,1.485227059,0.350395095
310,1.52046,0,2.2433,0.09975,1.575288235,4.34E-04,1.673072628,0.059217373,1,0,1.484763697,0.350890571
311,1.52037,0,2.23885,0.09511,1.574758824,4.35E-04,1.67313915,0.059682519,1,0,1.484300335,0.351386047
312,1.52028,0,2.23441,0.09058,1.574277632,4.36E-04,1.673205672,0.060147665,1,0,1.483836974,0.351881523
313,1.52019,0,2.2299,0.08631,1.573817105,4.37E-04,1.673272194,0.060612811,1,0,1.483373612,0.352376999
314,1.5201,0,2.22539,0.08217,1.573356579,4.38E-04,1.673341954,0.061081363,1,0,1.482909231,0.352873775
315,1.52001,0,2.22086,0.07815,1.572896053,4.39E-04,1.673436382,0.061575871,1,0,1.482437088,0.35338046
316,1.51992,0,2.21642,0.07439,1.572435526,4.40E-04,1.673530811,0.062070379,1,0,1.481964944,0.353887145
317,1.51983,0,2.21198,0.07073,1.571975,4.52E-04,1.67362524,0.062564888,1,0,1.481492801,0.354393829
318,1.51975,0,2.20754,0.06724,1.571514474,4.69E-04,1.673722829,0.063062316,1,0,1.481019775,0.354901582
319,1.51967,0,2.20313,0.06391,1.571057647,4.86E-04,1.673851683,0.063588632,1,0,1.480538026,0.355419905
320,1.5196,0,2.19873,0.06067,1.570634118,5.04E-04,1.673980537,0.064114947,1,0,1.480056276,0.355938228
321,1.51952,0,2.19436,0.05764,1.570210588,5.21E-04,1.674109391,0.064641263,1,0,1.479574526,0.356456551
322,1.51944,0,2.19001,0.05472,1.569787059,5.38E-04,1.674238245,0.065167579,1,0,1.479092777,0.356974874
323,1.51936,0,2.1857,0.05191,1.569363529,5.55E-04,1.674407786,0.065726361,1,0,1.47860178,0.357505632
324,1.51928,0,2.18148,0.04927,1.56894,5.72E-04,1.674578885,0.066286388,1,0,1.47811043,0.358036866
325,1.51921,0,2.17728,0.04671,1.568516471,5.90E-04,1.674749985,0.066846414,1,0,1.477619079,0.358568101
326,1.51913,0,2.17309,0.04429,1.568092941,6.07E-04,1.674921085,0.067406441,1,0,1.477127728,0.359099335
327,1.51905,0,2.16895,0.042,1.567669412,6.24E-04,1.675130668,0.067991946,1,0,1.476628623,0.359640409
328,1.51897,0,2.16484,0.03978,1.567248387,6.41E-04,1.675354791,0.068587078,1,0,1.476126589,0.360185199
329,1.5189,0,2.16081,0.0377,1.566829032,6.58E-04,1.675578913,0.069182209,1,0,1.475624555,0.360729989
330,1.51883,0,2.15683,0.03571,1.566409677,6.75E-04,1.675803036,0.06977734,1,0,1.47512252,0.361274779
331,1.51875,0,2.1529,0.03379,1.565990323,6.92E-04,1.676051921,0.070385836,1,0,1.474616287,0.361825026
332,1.51868,0,2.14902,0.03202,1.565570968,7.09E-04,1.67634199,0.071016557,1,0,1.474103071,0.362384349
333,1.51861,0,2.14517,0.0303,1.565151613,7.26E-04,1.676632059,0.071647279,1,0,1.473589854,0.362943672
334,1.51854,0,2.14135,0.02868,1.564732258,7.43E-04,1.676922128,0.072278,1,0,1.473076638,0.363502995
335,1.51846,0,2.13762,0.02714,1.564312903,7.60E-04,1.677212198,0.072908721,1,0,1.472563421,0.364062319
336,1.51839,0,2.13392,0.02566,1.563893548,7.77E-04,1.677576906,0.07357005,1,0,1.472039492,0.364635786
337,1.51832,0,2.13029,0.02428,1.563491489,7.94E-04,1.677949212,0.074234494,1,0,1.471514472,0.365210694
338,1.51825,0,2.1267,0.02296,1.563129787,8.11E-04,1.678321519,0.074898939,1,0,1.470989451,0.365785602
339,1.51817,0,2.12314,0.0217,1.562768085,8.27E-04,1.678693826,0.075563384,1,0,1.470464431,0.36636051
340,1.5181,0,2.11968,0.02053,1.562406383,8.44E-04,1.679098788,0.076236927,1,0,1.469935372,0.366940711
341,1.51804,0,2.11625,0.0194,1.562044681,8.61E-04,1.679574009,0.076930047,1,0,1.469397621,0.367532301
342,1.51798,0,2.11288,0.01834,1.561682979,8.78E-04,1.680049231,0.077623166,1,0,1.46885987,0.36812389
343,1.51792,0,2.1096,0.01735,1.561321277,8.96E-04,1.680524452,0.078316286,1,0,1.46832212,0.368715479
344,1.51786,0,2.10636,0.01639,1.560959574,9.14E-04,1.680999674,0.079009406,1,0,1.467784369,0.369307068
345,1.5178,0,2.10315,0.01549,1.560597872,9.33E-04,1.681551131,0.07971314,1,0,1.467238519,0.369909457
346,1.51774,0,2.09999,0.01464,1.56023617,9.51E-04,1.682153518,0.080423965,1,0,1.466687259,0.37051906
347,1.51768,0,2.09686,0.01383,1.559855882,9.69E-04,1.682755906,0.08113479,1,0,1.466135998,0.371128662
348,1.51761,0,2.0938,0.01308,1.559473529,9.88E-04,1.683358293,0.081845615,1,0,1.465584737,0.371738265
349,1.51755,0,2.09075,0.01236,1.559091176,0.001006471,1.68396068,0.082556441,1,0,1.465033477,0.372347868
350,1.51749,0,2.08773,0.01168,1.558708824,0.001024958,1.684680357,0.083265987,1,0,1.464471321,0.372972255
351,1.51743,0,2.08483,0.01105,1.558326471,0.001043445,1.685439382,0.083975105,1,0,1.46390551,0.373601602
352,1.51737,0,2.08197,0.01044,1.557944118,0.001061933,1.686198406,0.084684222,1,0,1.463339699,0.374230948
353,1.51731,0,2.07915,0.00988,1.557561765,0.00108042,1.68695743,0.08539334,1,0,1.462773888,0.374860295
354,1.51725,0,2.07638,0.00934,1.557179412,0.001098908,1.687716455,0.086102457,1,0,1.462208078,0.375489642
355,1.51719,0,2.07363,0.00883,1.556797059,0.001116111,1.688618262,0.086784412,1,0,1.461630413,0.376134956
356,1.51713,0,2.07092,0.00836,1.556414706,0.001131389,1.689565281,0.087457767,1,0,1.461048995,0.376785326
357,1.51707,0,2.06825,0.00791,1.556094118,0.001146667,1.690512301,0.088131121,1,0,1.460467577,0.377435696
358,1.51701,0,2.06563,0.00748,1.5558,0.001161944,1.691459321,0.088804475,1,0,1.459886159,0.378086066
359,1.51695,0,2.0631,0.00709,1.555505882,0.001177222,1.692406341,0.089477829,1,0,1.459304741,0.378736436
360,1.51688,0,2.0606,0.00671,1.555211765,0.0011925,1.693489482,0.09009572,1,0,1.458712995,0.379401348
361,1.51682,0,2.05808,0.00636,1.554917647,0.001207778,1.69465412,0.090680405,1,0,1.458115065,0.380074965
362,1.51676,0,2.05561,0.00603,1.554623529,0.001223056,1.695818759,0.09126509,1,0,1.457517135,0.380748582
363,1.5167,0,2.05318,0.00572,1.554329412,0.001238333,1.696983398,0.091849774,1,0,1.456919205,0.381422199
364,1.51664,0,2.0508,0.00543,1.554035294,0.001253611,1.698148037,0.092434459,1,0,1.456321275,0.382095817
365,1.51658,0,2.04845,0.00515,1.553741176,0.001268889,1.699392729,0.092962055,1,0,1.455717172,0.382777989
366,1.51651,0,2.04612,0.00489,1.553447059,0.001284167,1.700792402,0.093379127,1,0,1.455101117,0.383476723
367,1.51645,0,2.04386,0.00465,1.553145455,0.001299444,1.702192075,0.0937962,1,0,1.454485063,0.384175457
